categoria;familia;id;nome;unidade;preco;fator_perda;consumo_por_m2;preco_por_m2;forro_integrado;observacao
telha;Telha Termoisolante EPS;TL-EPS-SEMI;Telha Manta/Filme Semi-Sanduíche Galvalume;m2;55,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-SEMI-BR;Telha Manta/Filme Semi-Sanduíche Branco Galvalume;m2;58,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-SAND;Telha Sanduíche Galvalume;m2;95,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-FORRO-BR;Telha Forro Branco Galvalume;m2;65,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-FORRO-PT;Telha Forro Preto Galvalume;m2;65,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-AMAD-TRAD;Telha Forro Efeito Amadeirado Tradicional;m2;78,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-AMAD-3D;Telha Forro Efeito Amadeirado 3D;m2;82,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-AMAD-EC;Telha Forro Efeito Amadeirado Escuro e Claro;m2;78,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-AMAD-PARIS;Telha Forro Efeito Amadeirado Paris;m2;82,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante EPS;TL-EPS-AMAD-JACAR;Telha Forro Efeito Amadeirado Jacar;m2;82,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante PIR;TL-PIR-SAND;Telha Sanduíche PIR;m2;120,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante PIR;TL-PIR-AMAD-CLA;Telha PIR Amadeirado Claro;m2;128,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante PIR;TL-PIR-AMAD-ESC;Telha PIR Amadeirado Escuro;m2;128,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante PIR;TL-PIR-FORRO-PT;Telha Forro Preto PIR;m2;110,00;1,08;;;SIM;confirmado
telha;Telha Termoisolante PIR;TL-PIR-FORRO-BR;Telha Forro Branco PIR;m2;110,00;1,08;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-TER-PT;Isotelha Colonial Terracota Forro Preto;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-TER-BR;Isotelha Colonial Terracota Forro Branco;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-TER-AE;Isotelha Colonial Terracota Forro Amadeirado Escuro;m2;142,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-TER-AC;Isotelha Colonial Terracota Forro Amadeirado Claro;m2;142,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-CIN-PT;Isotelha Colonial Cinza Ardósia Forro Preto;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-CIN-BR;Isotelha Colonial Cinza Ardósia Forro Branco;m2;135,00;1,10;;;SIM;confirmado
telha;Telha Colonial PIR (Isotelha);TL-COL-CIN-AE;Isotelha Colonial Cinza Ardósia Forro Amadeirado Escuro;m2;142,00;1,10;;;SIM;confirmado
